[2026-05-30 18:50:29] INICIANDO FRONT CERTIFIER...
[2026-05-30 18:50:47] HIGH PRIORITY: iotec_cinematic.html
[2026-05-30 18:50:50] HIGH PRIORITY: cockpit_iotec_v2.html
[2026-05-30 18:50:50] HIGH PRIORITY: contato.html
[2026-05-30 18:50:50] HIGH PRIORITY: ecossistema.html
[2026-05-30 18:50:50] HIGH PRIORITY: index.html
[2026-05-30 18:50:50] HIGH PRIORITY: portfolio.html
[2026-05-30 18:50:50] HIGH PRIORITY: setores.html
[2026-05-30 18:50:50] HIGH PRIORITY: tecnologias.html
[2026-05-30 18:50:51] HIGH PRIORITY: index.html
[2026-05-30 18:50:51] HIGH PRIORITY: IOTEC BL — Construtora de Inovações e Tecnologia.html
[2026-05-30 18:50:51] HIGH PRIORITY: IOTEC BL — Construtora e Distribuidora de Inovação e Tecnologia.html
[2026-05-30 18:50:51] HIGH PRIORITY: ShopTec — Tecnologia e Inovação Digital · IOTEC BL.html
[2026-05-30 18:50:51] HIGH PRIORITY: api-error-handling.html
[2026-05-30 18:50:51] HIGH PRIORITY: api-index.html
[2026-05-30 18:50:52] HIGH PRIORITY: api-merge.html
[2026-05-30 18:50:52] HIGH PRIORITY: api-parse-options.html
[2026-05-30 18:50:52] HIGH PRIORITY: api-path-walk.html
[2026-05-30 18:50:52] HIGH PRIORITY: api-simple-ipc.html
[2026-05-30 18:50:52] HIGH PRIORITY: api-trace2.html
[2026-05-30 18:50:53] HIGH PRIORITY: bitmap-format.html
[2026-05-30 18:50:53] HIGH PRIORITY: BreakingChanges.html
[2026-05-30 18:50:53] HIGH PRIORITY: build-systems.html
[2026-05-30 18:50:53] HIGH PRIORITY: bundle-uri.html
[2026-05-30 18:55:01] HIGH PRIORITY: cockpit_nucleo.html
[2026-05-30 18:55:02] HIGH PRIORITY: commit-graph.html
[2026-05-30 18:55:02] HIGH PRIORITY: coordinate-embargoed-releases.html
[2026-05-30 18:55:02] HIGH PRIORITY: DecisionMaking.html
[2026-05-30 18:55:03] HIGH PRIORITY: directory-rename-detection.html
[2026-05-30 18:55:03] HIGH PRIORITY: everyday.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-add.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-am.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-annotate.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-apply.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-archive.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-backfill.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-bash.html
[2026-05-30 18:55:04] HIGH PRIORITY: git-bisect-lk2009.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-bisect.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-blame.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-branch.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-bugreport.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-bundle.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-cat-file.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-check-attr.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-check-ignore.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-check-mailmap.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-check-ref-format.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-checkout-index.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-checkout.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-cherry-pick.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-cherry.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-citool.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-clean.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-clone.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-column.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-commit-graph.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-commit-tree.html
[2026-05-30 18:55:05] HIGH PRIORITY: git-commit.html
[2026-05-30 18:55:06] HIGH PRIORITY: git-config.html
[2026-05-30 18:55:06] HIGH PRIORITY: git-count-objects.html
