"Script","Tipo","Dependencia","Caminho"
"_adapters.py","IMPORT","email.message","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_adapters.py"
"_adapters.py","IMPORT","textwrap","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_adapters.py"
"_adapters.py","FROM",".","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_adapters.py"
"_adapters.py","FROM","io","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_adapters.py"
"_adapters.py","FROM","io","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_adapters.py"
"_adapters.py","FROM",".","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_adapters.py"
"_adapters.py","FROM","._text","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_adapters.py"
"_adapters.py","FROM","contextlib","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_adapters.py"
"_adapters.py","IMPORT","re","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_adapters.py"
"_adapters.py","FROM","contextlib","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_adapters.py"
"_api.py","IMPORT","pip._vendor.urllib3.util.ssl_ as urllib3_ssl","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","IMPORT","pip._vendor.urllib3.util.ssl_ as urllib3_ssl","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","IMPORT","typing","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","FROM","._ssl_constants","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","IMPORT","_ssl  # type: ignore[]","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","IMPORT","platform","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","IMPORT","os","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","IMPORT","socket","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_api.py","IMPORT","ssl","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\truststore\_api.py"
"_appengine_environ.py","IMPORT","os","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py"
"_apply_pyprojecttoml.py","IMPORT","logging","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","IMPORT","os","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","typing","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","itertools","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","types","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","setuptools._deprecation_warning","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","IMPORT","warnings","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","functools","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","email.headerregistry","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_apply_pyprojecttoml.py","FROM","collections.abc","C:\IOTEC\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py"
"_asyncio.py","IMPORT","typing as t","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","FROM","pip._vendor.tenacity","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","FROM","asyncio","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","IMPORT","functools","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","IMPORT","sys","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","FROM","pip._vendor.tenacity","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","FROM","pip._vendor.tenacity","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","FROM","pip._vendor.tenacity","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_asyncio.py","FROM","pip._vendor.tenacity","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py"
"_cmd.py","FROM","__future__","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","pip._vendor.cachecontrol.controller","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","pip._vendor.cachecontrol.cache","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","pip._vendor.cachecontrol.adapter","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","typing","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","argparse","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","IMPORT","logging","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_cmd.py","FROM","pip._vendor","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py"
"_collections.py","FROM","collections","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_collections.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_collections.py","FROM",".exceptions","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_collections.py","FROM",".packages.six","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_collections.py","FROM",".packages","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_collections.py","IMPORT","collections","C:\IOTEC\venv\Lib\site-packages\setuptools\_distutils\_collections.py"
"_collections.py","FROM","__future__","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_collections.py","IMPORT","collections","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_collections.py"
"_collections.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_collections.py","IMPORT","itertools","C:\IOTEC\venv\Lib\site-packages\setuptools\_distutils\_collections.py"
"_collections.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py"
"_common.py","IMPORT","lib","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","types","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","FROM","typing","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","FROM","._compat","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","FROM",".abc","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","pathlib","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","os","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","tempfile","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","contextlib","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","functools","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","tempfile","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","types","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","contextlib","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","os","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","pathlib","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","FROM","._compat","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","FROM",".abc","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","functools","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","IMPORT","lib","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_common.py","FROM","typing","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py"
"_compat.py","IMPORT","abc","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_compat.py"
"_compat.py","IMPORT","sys","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_compat.py"
"_compat.py","IMPORT","sys","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_compat.py"
"_compat.py","IMPORT","pathlib","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_compat.py"
"_compat.py","IMPORT","platform","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata\_compat.py"
"_compat.py","IMPORT","tomllib","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_compat.py"
"_compat.py","IMPORT","lib.metadata","C:\IOTEC\venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py"
"_compat.py","FROM","typing","C:\IOTEC\venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py"
"_compat.py","IMPORT","sys","C:\IOTEC\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_compat.py"
"_compat.py","IMPORT","pathlib","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_compat.py"
"_compat.py","FROM","contextlib","C:\IOTEC\venv\Lib\site-packages\setuptools\_vendor\importlib_resources\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_compat.py"
"_compat.py","FROM","","C:\IOTEC\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_compat.py"
