[2026-05-30 18:13:11] TORRE ONLINE DETECTADA.
[2026-05-30 18:13:11] ESCANEANDO INTERFACES...
[2026-05-30 18:13:40] ONLINE: cockpit_iotec.html
[2026-05-30 18:13:40] ONLINE: cockpit_iotec_v2.html
[2026-05-30 18:13:57] ONLINE: index.html
[2026-05-30 18:13:58] ONLINE: IOTEC BL — Construtora de Inovações e Tecnologia.html
[2026-05-30 18:13:58] ONLINE: IOTEC BL — Construtora e Distribuidora de Inovação e Tecnologia.html
[2026-05-30 18:13:58] ONLINE: ShopTec — Tecnologia e Inovação Digital · IOTEC BL.html
[2026-05-30 18:14:03] ONLINE: api-error-handling.html
[2026-05-30 18:14:04] ONLINE: api-index.html
[2026-05-30 18:14:04] ONLINE: api-merge.html
[2026-05-30 18:14:04] ONLINE: api-parse-options.html
[2026-05-30 18:14:05] ONLINE: api-path-walk.html
[2026-05-30 18:14:05] ONLINE: api-simple-ipc.html
[2026-05-30 18:14:06] ONLINE: api-trace2.html
[2026-05-30 18:14:11] ONLINE: bitmap-format.html
[2026-05-30 18:14:12] ONLINE: BreakingChanges.html
[2026-05-30 18:14:12] ONLINE: build-systems.html
[2026-05-30 18:14:13] ONLINE: bundle-uri.html
[2026-05-30 18:14:18] ONLINE: bundle_078.html
[2026-05-30 18:14:20] ONLINE: bundle_10001.html
[2026-05-30 18:14:23] ONLINE: bundle_10065.html
[2026-05-30 18:14:49] ONLINE: bundle_10440.html
[2026-05-30 18:14:52] ONLINE: bundle_10519.html
[2026-05-30 18:14:55] ONLINE: bundle_10568.html
[2026-05-30 18:14:56] ONLINE: bundle_10606.html
[2026-05-30 18:14:57] ONLINE: bundle_10611.html
[2026-05-30 18:14:58] ONLINE: bundle_10636.html
[2026-05-30 18:15:00] ONLINE: bundle_10676.html
[2026-05-30 18:15:00] ONLINE: bundle_10678.html
[2026-05-30 18:15:01] ONLINE: bundle_10698.html
[2026-05-30 18:15:01] ONLINE: bundle_10699.html
[2026-05-30 18:15:01] ONLINE: bundle_10704.html
[2026-05-30 18:15:02] ONLINE: bundle_10716.html
[2026-05-30 18:15:04] ONLINE: bundle_10779.html
[2026-05-30 18:15:05] ONLINE: bundle_10791.html
[2026-05-30 18:15:05] ONLINE: bundle_10799.html
[2026-05-30 18:15:05] ONLINE: bundle_10807.html
[2026-05-30 18:15:07] ONLINE: bundle_10871.html
[2026-05-30 18:15:12] ONLINE: bundle_1098.html
[2026-05-30 18:15:22] ONLINE: bundle_11246.html
[2026-05-30 18:15:24] ONLINE: bundle_11325.html
[2026-05-30 18:15:27] ONLINE: bundle_11374.html
[2026-05-30 18:15:28] ONLINE: bundle_11412.html
[2026-05-30 18:15:28] ONLINE: bundle_11417.html
[2026-05-30 18:15:29] ONLINE: bundle_11442.html
[2026-05-30 18:15:31] ONLINE: bundle_11482.html
[2026-05-30 18:15:31] ONLINE: bundle_11483.html
[2026-05-30 18:15:33] ONLINE: bundle_11504.html
[2026-05-30 18:15:33] ONLINE: bundle_11505.html
[2026-05-30 18:15:33] ONLINE: bundle_11510.html
[2026-05-30 18:15:34] ONLINE: bundle_11522.html
[2026-05-30 18:15:37] ONLINE: bundle_11585.html
[2026-05-30 18:15:37] ONLINE: bundle_11596.html
[2026-05-30 18:15:37] ONLINE: bundle_11597.html
[2026-05-30 18:15:38] ONLINE: bundle_11605.html
[2026-05-30 18:15:38] ONLINE: bundle_11613.html
[2026-05-30 18:15:40] ONLINE: bundle_11676.html
[2026-05-30 18:15:57] ONLINE: bundle_12052.html
[2026-05-30 18:16:01] ONLINE: bundle_12131.html
[2026-05-30 18:16:10] ONLINE: bundle_12292.html
[2026-05-30 18:16:14] ONLINE: bundle_1253.html
[2026-05-30 18:16:14] ONLINE: bundle_1260.html
[2026-05-30 18:16:26] ONLINE: bundle_1432.html
[2026-05-30 18:16:32] ONLINE: bundle_1576.html
[2026-05-30 18:16:44] ONLINE: bundle_1842.html
[2026-05-30 18:16:46] ONLINE: bundle_1919.html
[2026-05-30 18:16:49] ONLINE: bundle_1984.html
[2026-05-30 18:16:49] ONLINE: bundle_1985.html
[2026-05-30 18:16:49] ONLINE: bundle_1993.html
[2026-05-30 18:17:11] ONLINE: bundle_252.html
[2026-05-30 18:17:13] ONLINE: bundle_260.html
[2026-05-30 18:17:37] ONLINE: bundle_3435.html
[2026-05-30 18:17:42] ONLINE: bundle_3578.html
[2026-05-30 18:17:42] ONLINE: bundle_3585.html
[2026-05-30 18:17:47] ONLINE: bundle_3743.html
[2026-05-30 18:17:53] ONLINE: bundle_3941.html
[2026-05-30 18:17:56] ONLINE: bundle_4020.html
[2026-05-30 18:17:58] ONLINE: bundle_4088.html
[2026-05-30 18:17:58] ONLINE: bundle_4089.html
[2026-05-30 18:18:00] ONLINE: bundle_4137.html
[2026-05-30 18:18:00] ONLINE: bundle_4138.html
[2026-05-30 18:18:06] ONLINE: bundle_4330.html
[2026-05-30 18:18:12] ONLINE: bundle_4492.html
[2026-05-30 18:18:13] ONLINE: bundle_4500.html
[2026-05-30 18:18:15] ONLINE: bundle_455.html
[2026-05-30 18:18:19] ONLINE: bundle_4683.html
[2026-05-30 18:18:26] ONLINE: bundle_4900.html
[2026-05-30 18:18:28] ONLINE: bundle_4979.html
[2026-05-30 18:18:30] ONLINE: bundle_5048.html
[2026-05-30 18:18:30] ONLINE: bundle_5049.html
[2026-05-30 18:18:32] ONLINE: bundle_5101.html
[2026-05-30 18:18:32] ONLINE: bundle_5102.html
[2026-05-30 18:18:38] ONLINE: bundle_5303.html
[2026-05-30 18:18:39] ONLINE: bundle_5341.html
[2026-05-30 18:18:39] ONLINE: bundle_5346.html
[2026-05-30 18:18:42] ONLINE: bundle_5444.html
[2026-05-30 18:18:42] ONLINE: bundle_5456.html
[2026-05-30 18:18:42] ONLINE: bundle_5457.html
[2026-05-30 18:18:43] ONLINE: bundle_5465.html
[2026-05-30 18:18:43] ONLINE: bundle_5471.html
[2026-05-30 18:18:45] ONLINE: bundle_5534.html
[2026-05-30 18:18:49] ONLINE: bundle_5684.html
[2026-05-30 18:18:50] ONLINE: bundle_5721.html
[2026-05-30 18:18:51] ONLINE: bundle_5726.html
[2026-05-30 18:18:53] ONLINE: bundle_5825.html
[2026-05-30 18:18:53] ONLINE: bundle_5837.html
[2026-05-30 18:18:54] ONLINE: bundle_5845.html
[2026-05-30 18:18:54] ONLINE: bundle_5852.html
[2026-05-30 18:18:55] ONLINE: bundle_5915.html
[2026-05-30 18:19:00] ONLINE: bundle_6066.html
[2026-05-30 18:19:01] ONLINE: bundle_6104.html
[2026-05-30 18:19:01] ONLINE: bundle_6109.html
[2026-05-30 18:19:04] ONLINE: bundle_6207.html
[2026-05-30 18:19:04] ONLINE: bundle_6219.html
[2026-05-30 18:19:04] ONLINE: bundle_6220.html
[2026-05-30 18:19:04] ONLINE: bundle_6228.html
[2026-05-30 18:19:05] ONLINE: bundle_6234.html
[2026-05-30 18:19:06] ONLINE: bundle_6297.html
[2026-05-30 18:19:11] ONLINE: bundle_6480.html
[2026-05-30 18:19:20] ONLINE: bundle_679.html
[2026-05-30 18:19:39] ONLINE: bundle_7404.html
[2026-05-30 18:19:44] ONLINE: bundle_7547.html
[2026-05-30 18:19:45] ONLINE: bundle_7554.html
[2026-05-30 18:19:45] ONLINE: bundle_758.html
[2026-05-30 18:19:49] ONLINE: bundle_7712.html
[2026-05-30 18:19:55] ONLINE: bundle_7910.html
[2026-05-30 18:19:58] ONLINE: bundle_7990.html
[2026-05-30 18:19:59] ONLINE: bundle_8057.html
[2026-05-30 18:19:59] ONLINE: bundle_8058.html
[2026-05-30 18:20:01] ONLINE: bundle_8106.html
[2026-05-30 18:20:01] ONLINE: bundle_8107.html
[2026-05-30 18:20:06] ONLINE: bundle_826.html
[2026-05-30 18:20:06] ONLINE: bundle_827.html
